project,month,days_t,net_tvl,borrowed,supply,util,days_f,fees,revenue,holders_rev,supply_side_rev,protocol_rev,ann,rev_to_supply,rev_to_borrow,fees_to_borrow,take,passthru,holders_share
morpho-blue,2025-09,30,7632510213,4185803413,11818313627,0.3542,30,22810859,0,0,22810859,0,12.166666666666666,0.0,0.0,6.63031897225254,0.0,100.0,
morpho-blue,2025-10,31,7502941837,4037789554,11540731392,0.3499,31,24149110,0,0,24149110,0,11.774193548387096,0.0,0.0,7.041880002874719,0.0,100.0,
morpho-blue,2025-11,30,6631691271,3479636142,10111327413,0.3441,30,22933674,0,0,22933674,0,12.166666666666666,0.0,0.0,8.018837476484633,0.0,100.0,
morpho-blue,2025-12,31,5643891278,3031159112,8675050391,0.3494,31,12251372,0,0,12251372,0,11.774193548387096,0.0,0.0,4.7589064061408575,0.0,100.0,
morpho-blue,2026-01,31,6410630944,3489384571,9900015515,0.3525,31,15646433,0,0,15646433,0,11.774193548387096,0.0,0.0,5.2795593817586965,0.0,100.0,
morpho-blue,2026-02,28,5689028955,3153590469,8842619424,0.3566,28,17736154,0,0,17736154,0,13.035714285714286,0.0,0.0,7.33143502126143,0.0,100.0,
morpho-blue,2026-03,31,6549488352,3752045465,10301533817,0.3642,31,11341144,0,0,11341144,0,11.774193548387096,0.0,0.0,3.5589340737407356,0.0,100.0,
morpho-blue,2026-04,30,6961426581,3803106317,10764532898,0.3533,30,14551230,0,0,14551230,0,12.166666666666666,0.0,0.0,4.655141093706111,0.0,100.0,
morpho-blue,2026-05,31,7375131893,3807078292,11182210185,0.3405,31,15284204,0,0,15284204,0,11.774193548387096,0.0,0.0,4.72696283938235,0.0,100.0,
morpho-blue,2026-06,30,6726951101,3580784343,10307735444,0.3474,30,18769112,0,0,18769112,0,12.166666666666666,0.0,0.0,6.377304731566554,0.0,100.0,
morpho-blue,2026-07,31,7265382469,3880758640,11146141109,0.3482,31,14886554,0,0,14886554,0,11.774193548387096,0.0,0.0,4.516569679389186,0.0,100.0,
morpho-blue,2026-08,31,8432704192,4471507138,12904211330,0.3465,31,18420464,0,0,18420464,0,11.774193548387096,0.0,0.0,4.850402821544076,0.0,100.0,
venus-core-pool,2024-01,31,943346519,595402015,1538748534,0.3869,31,10673339,2276585,2276585,8396756,0,11.774193548387096,1.7419969427801798,4.501992224422492,21.106740660517982,21.329642017366822,78.67037672091179,100.0
venus-core-pool,2024-02,29,1055739527,612825296,1668564823,0.3673,29,10166859,2063213,2063213,8103642,0,12.586206896551724,1.5563090706278886,4.237427185064367,20.880696618970664,20.293514447284064,79.70644620919795,100.0
venus-core-pool,2024-03,31,1565019765,760296269,2325316034,0.327,31,11161893,1840627,1840627,9321270,0,11.774193548387096,0.931997983564719,2.8504544125794067,17.285667956945755,16.49027633574341,83.50975950047183,100.0
venus-core-pool,2024-04,30,1644019674,856239357,2500259032,0.3425,30,14716599,3210342,3210342,11506259,0,12.166666666666666,1.5622045756097482,4.561710540479162,20.911437092467125,21.81442872772439,78.18558486237207,100.0
venus-core-pool,2024-05,31,1682933922,796382829,2479316751,0.3212,31,5751542,972597,972597,4778945,0,11.774193548387096,0.46188311025454143,1.4379447805222136,8.503418989421407,16.91019556146856,83.08980443853144,100.0
venus-core-pool,2024-06,30,1716834694,830700645,2547535339,0.3261,30,5953628,1025673,1025673,4927954,0,12.166666666666666,0.48984684565351183,1.5022284592062645,8.719844840536187,17.227697128540783,82.77228607497815,100.0
venus-core-pool,2024-07,31,1585698153,645370466,2231068619,0.2893,31,3330234,400474,400474,2929760,0,11.774193548387096,0.2113452874977116,0.7306281640562048,6.075707170247135,12.025401218052545,87.97459878194745,100.0
venus-core-pool,2024-08,31,1524411923,637997832,2162409755,0.295,31,3828597,576348,576348,3252242,0,11.774193548387096,0.313818085935605,1.0636451352746612,7.065641893399756,15.053765125971733,84.94605203942854,100.0
venus-core-pool,2024-09,30,1617938202,619772843,2237711044,0.277,30,3805265,600203,600203,3205062,0,12.166666666666666,0.32633658634851576,1.178249404731232,7.470057998868035,15.772961935633917,84.22703806436608,100.0
